stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
22158,158,Anderson Rd & Amherst Drive,Buses head Southbound,38.55229,-121.75881,0
22159,159,Anderson Rd & Russell Blvd,Buses head Southbound,38.547301,-121.758874,0
22160,160,Anderson Rd & Russell Blvd,Buses head Northbound,38.546911,-121.758572,0
22161,161,Oak Ave & Antioch Drive,Buses head Northbound,38.553345,-121.752569,0
22162,162,Oak Ave & Antioch Drive,Buses head Southbound,38.552723,-121.752779,0
22163,163,Oak Ave & Eighth St,Buses head Northbound,38.551035,-121.752611,0
22164,164,Oak Ave & Eighth St,Buses head Southbound,38.55044,-121.752853,0
22165,165,Oak Ave & Russell Blvd,Buses head Northbound,38.546644,-121.752651,0
22166,166,Oak Ave & Russell Blvd,Buses head Southbound,38.54649,-121.752911,0
22167,167,Memorial Union Terminal & Howard Way,Buses head Northbound,38.543983,-121.749798,0
22168,168,Hutchison Drive & Shields Library,Buses head Westbound,38.539287,-121.748917,0
22169,169,Hutchison Drive & Art Building,Buses head Eastbound,38.539195,-121.748375,0
22172,172,Cowell Blvd & Mace Blvd,Buses head Eastbound,38.548641,-121.693596,0
22173,173,Hutchison Drive & Bioletti Way,Buses head Eastbound,38.53903,-121.755774,0
22174,174,Lillard Drive & Evans Ct,Buses head Eastbound,38.541664,-121.717347,0
22175,175,La Rue Rd & Orchard / ARC,Buses head Northbound,38.54402,-121.759833,0
22176,176,La Rue Rd & Blue Ridge Road / ARC,Buses head Southbound,38.542506,-121.760887,0
22177,177,Russell Blvd & Sycamore Lane / Trader Joe's,Buses head Eastbound,38.546237,-121.761999,0
22178,178,Russell Blvd & Sycamore Lane / Cuarto Dorms / Trader Joe's,Buses head Westbound,38.546489,-121.763497,0
22179,179,Sycamore Ln & Russell/Trader Joe's,Buses head Southbound,38.547383,-121.761982,0
22181,181,Wake Forest Drive & Oxford Circle / Cuarto Dorms,Buses head Eastbound,38.547933,-121.763945,0
22182,182,Wake Forest Drive & Eighth Street,Buses head Southbound,38.549023,-121.76684,0
22184,184,Eighth St & Sycamore Ln,Buses head Westbound,38.550582,-121.764706,0
22185,185,Sycamore Ln & Eighth St,Buses head Northbound,38.550965,-121.764404,0
22186,186,Sycamore Ln & Villanova Drive,Buses head Northbound,38.556476,-121.764806,0
22187,187,Sycamore Ln & Colby Drive,Buses head Southbound,38.555308,-121.765045,0
22188,188,Sycamore Ln & Bucknell Drive,Buses head Northbound,38.554912,-121.764838,0
22189,189,Sycamore Ln & Cornell Drive,Buses head Northbound,38.553481,-121.764886,0
22190,190,Sycamore Ln & Cornell Drive,Buses head Southbound,38.552939,-121.765096,0
22191,191,Sycamore Ln & Radcliffe Drive,Buses head Northbound,38.558244,-121.764724,0
22192,192,Sycamore Ln & Notre Dame Drive,Buses head Southbound,38.558492,-121.764821,0
22193,193,Apple Ln & Radcliffe Drive,Buses head Northbound,38.55862,-121.760557,0
22194,194,Drake Drive & Drake Apartments,Buses head Westbound,38.560089,-121.761237,0
22195,195,Sycamore Ln & Drake Drive,Buses head Southbound,38.559408,-121.76406,0
22196,196,Covell Blvd & Sycamore Lane / Marketplace,Buses head Westbound,38.561008,-121.764713,0
22197,197,Covell Blvd & Sycamore Lane / Marketplace,Buses head Eastbound,38.560702,-121.764541,0
22198,198,Covell Blvd & Shasta Drive/Sutter Hospital,Buses head Eastbound,38.560798,-121.77185,0
22199,199,Covell Blvd & John Jones Rd/Sutter Hospital,Buses head Westbound,38.56108,-121.770763,0
22200,200,Covell Blvd & Shasta Drive,Buses head Westbound,38.561071,-121.772969,0
22201,201,Covell Blvd & Denali Drive,Buses head Eastbound,38.560853,-121.778241,0
22202,202,Covell Blvd & UC Davis Medical Group,Buses head Eastbound,38.56096,-121.782832,0
22203,203,Lake Blvd & Covell Blvd,Buses head Southbound,38.560463,-121.786324,0
22204,204,Lake Blvd & Covell Blvd,Buses head Northbound,38.560424,-121.786037,0
22205,205,Lake Blvd & Oyster Bay,Buses head Southbound,38.557567,-121.786646,0
22206,206,Lake Blvd & Wood Circle,Buses head Northbound,38.557464,-121.786443,0
22207,207,Arlington Blvd & Lake Blvd,Buses head Northbound,38.555228,-121.787009,0
22208,208,Arlington Blvd & Lake Blvd,Buses head Southbound,38.55497,-121.786907,0
